campaign_id,campaign_name,product,audience_segment,region,channel,launch_date,end_date,spend_amount,impressions,clicks,conversions,ctr,conversion_rate,revenue_generated,roi,campaign_status,campaign_objective,target_audience_size,actual_reach
CMP10045,Exclusive Current Account Deal,Health Insurance,HNI Customers,Ahmedabad,Push Notification,2024-09-14,2024-12-03,4248264,46730904,1970730,293163,4.22,14.88,3011077173,707.78,Cancelled,Acquisition,2270822,2421955
CMP10046,HNI Senior Citizen FD Campaign,Senior Citizen FD,Healthcare Workers,Chandigarh,Email,2023-03-24,2023-04-13,4403384,57243992,4840829,670192,8.46,13.84,15567889968,3534.44,Active,Upsell,3463129,2914478
CMP10047,Jaipur Fixed Deposit Push,Business Loan,NRI Customers,Nagpur,WhatsApp,2025-10-11,2025-12-09,4664544,13993632,868284,122397,6.2,14.1,3134831964,671.06,Completed,Retention,4358984,1522412
CMP10048,Premium Fixed Deposit Upgrade,Credit Card,SMB Owners,Lucknow,Push Notification,2025-10-17,2026-01-02,1757570,12302990,856375,136886,6.96,15.98,3268290136,1858.55,Completed,Re-engagement,3432473,395947
CMP10049,Government Exclusive Credit Card Upgrade,NRI Account,Self-Employed,Nagpur,SMS,2024-04-05,2024-06-21,1035377,13459901,828374,179283,6.15,21.64,6751977063,6520.27,Active,Cross-sell,1608955,2518971
CMP10050,Instant Health Insurance Promo,Savings Account,Women Professionals,East India,Email,2025-11-06,2026-01-14,2367331,35509965,1221887,254154,3.44,20.8,8181979722,3455.2,Active,Cross-sell,4527941,2036475
CMP10051,Limited Period Gold Loan,EMI Card,Salaried Gen-Z,Chandigarh,WhatsApp,2024-12-07,2025-02-12,4608621,41477589,6298301,888494,15.18,14.11,23179031472,5028.49,Scheduled,Cross-sell,1285951,2082558
CMP10052,NRI Account Special Offer,Credit Card Upgrade,Students,Bangalore,Email,2023-03-17,2023-05-23,2834973,11339892,1093040,245757,9.64,22.48,8320103235,2933.81,Paused,Upsell,3344331,2730612
CMP10053,Limited Period Credit Card,EMI Card,IT Professionals,Ahmedabad,WhatsApp,2023-06-14,2023-07-02,3237749,25901992,3826801,671067,14.77,17.54,24814715526,7663.19,Scheduled,Acquisition,853115,1865922
CMP10054,Instant Current Account Promo,Personal Loan,Women Professionals,Kolkata,WhatsApp,2023-12-07,2024-01-04,435800,3486400,493827,103322,14.16,20.92,2503078772,5742.64,Active,Acquisition,3219014,2604253
CMP10055,Premium Personal Loan Upgrade,Forex Card,SMB Owners,Bangalore,Push Notification,2024-05-08,2024-07-10,1250558,7503348,583606,83006,7.78,14.22,1796581864,1435.62,Paused,Re-engagement,2519487,2684903
CMP10056,Business Loan Special Offer,NRI Account,IT Professionals,Mumbai,WhatsApp,2025-05-18,2025-07-14,2584380,15506280,2253618,563122,14.53,24.99,20647994374,7988.53,Paused,Acquisition,4757356,2881451
CMP10057,Gold Loan Zero Cost,Senior Citizen FD,Students,Chennai,Call Center,2023-04-11,2023-07-07,2450770,36761550,893001,187326,2.43,20.98,8389207584,3422.09,Completed,Upsell,3707892,144940
CMP10058,NRI Home Loan Campaign,Home Loan,Government Employees,Kolkata,WhatsApp,2026-04-01,2026-05-10,806093,5642651,260981,30102,4.63,11.53,970187460,1202.57,Scheduled,Upsell,2851349,488056
CMP10059,Limited Period Demat Account,Home Loan,NRI Customers,Chennai,SMS,2025-08-17,2025-10-21,1942593,25253709,423922,82598,1.68,19.48,2564172312,1318.97,Paused,Brand Awareness,2209169,2456822
CMP10060,Instant Savings Account Promo,Fixed Deposit,Mass Affluent,Hyderabad,WhatsApp,2025-02-19,2025-03-03,2011440,20114400,1285462,70706,6.39,5.5,2954945152,1468.07,Completed,Upsell,4142434,492044
CMP10061,Current Account EMI Special,EMI Card,Mass Affluent,North India,Email,2023-07-19,2023-10-12,1188032,10692288,596748,83979,5.58,14.07,4109932260,3458.45,Scheduled,Upsell,284444,2900246
CMP10062,Christmas EMI Card Offer,NRI Account,Retired Professionals,Chennai,Email,2025-01-28,2025-04-03,3780379,22682274,986489,218102,4.35,22.11,2510572122,663.11,Completed,Brand Awareness,1789272,2696503
CMP10063,Education Loan Special Offer,Mutual Fund,Students,Pan India,SMS,2023-02-13,2023-02-20,2093203,10466015,907558,188223,8.67,20.74,3472337904,1657.86,Paused,Retention,1100453,2270827
CMP10064,Exclusive Personal Loan Deal,Fixed Deposit,Premium Card Holders,South India,Email,2024-05-28,2024-06-18,266259,1331295,69838,3699,5.25,5.3,76173507,285.09,Completed,Cross-sell,3770405,1523501
CMP10065,Q4 Life Insurance Fest,Fixed Deposit,Existing Loan Customers,Indore,Call Center,2025-11-17,2025-12-07,3841696,42258656,1880430,177343,4.45,9.43,8035588673,2090.68,Scheduled,Brand Awareness,3730870,313242
CMP10066,Christmas Mutual Fund Offer,Prepaid Card,Dormant Account Holders,South India,WhatsApp,2023-06-15,2023-09-07,1294314,5177256,484477,36451,9.36,7.52,1673647665,1292.08,Scheduled,Acquisition,969774,2751065
CMP10067,June Fixed Deposit Bonanza,Current Account,Government Employees,Kochi,Email,2026-02-03,2026-03-01,3837917,23027502,686151,91095,2.98,13.28,3162818400,823.1,Scheduled,Acquisition,775248,363044
CMP10068,Exclusive EMI Card Deal,Fixed Deposit,Premium Card Holders,Delhi NCR,Push Notification,2023-07-10,2023-08-22,3175988,47639820,4727331,359386,9.92,7.6,3209316980,1009.49,Cancelled,Upsell,2959822,439532
CMP10069,Instant Demat Account Promo,Education Loan,Premium Card Holders,West India,Call Center,2026-03-29,2026-06-23,1347970,17523610,400025,58578,2.28,14.64,708325176,524.48,Cancelled,Brand Awareness,4680271,115116
CMP10070,Instant Car Loan Promo,Car Loan,HNI Customers,Hyderabad,SMS,2024-07-01,2024-09-27,2342358,32793012,3306508,669508,10.08,20.25,18257483160,7793.49,Completed,Acquisition,4460011,907332
CMP10071,Credit Card Zero Cost,NRI Account,HNI Customers,Jaipur,Push Notification,2025-02-09,2025-04-13,2909642,14548210,1397874,173351,9.61,12.4,4551850558,1563.4,Scheduled,Cross-sell,3718135,1742212
CMP10072,Independence Day Credit Card Upgrade Offer,Credit Card Upgrade,Senior Citizens,Delhi NCR,Email,2024-07-13,2024-07-20,1004770,8038160,288289,39202,3.59,13.6,923677524,918.29,Active,Upsell,1781959,580604
CMP10073,NRI Business Loan Campaign,Mutual Fund,First-Time Borrowers,Bangalore,WhatsApp,2024-06-07,2024-08-03,1056501,3169503,64194,9595,2.03,14.95,318774685,300.73,Completed,Cross-sell,167215,1933349
CMP10074,June Fixed Deposit Bonanza,Forex Card,Senior Citizens,Nagpur,WhatsApp,2023-06-09,2023-08-01,3651097,43813164,5731221,750128,13.08,13.09,35220009856,9645.42,Completed,Cross-sell,898044,1025543
CMP10075,Gold Loan EMI Special,Business Loan,Mass Affluent,South India,Call Center,2025-06-11,2025-08-22,4445316,17781264,1586444,204894,8.92,12.92,5190784596,1166.7,Active,Upsell,2955238,2712184
CMP10076,High-Value Car Loan Campaign,Fixed Deposit,Dormant Account Holders,East India,Email,2023-10-30,2024-01-27,1278463,8949241,819265,73286,9.15,8.95,3259614708,2548.64,Cancelled,Upsell,2661965,638161
CMP10077,Exclusive Demat Account Deal,Senior Citizen FD,Dormant Account Holders,Delhi NCR,SMS,2025-06-19,2025-07-03,3759510,48873630,3987398,440863,8.16,11.06,10140289863,2696.24,Paused,Upsell,653666,2708927
CMP10078,NRI Account Zero Cost,Prepaid Card,High-Value Transactors,South India,Call Center,2023-07-04,2023-07-30,4303593,38732337,882116,125738,2.28,14.25,5196374326,1206.45,Completed,Cross-sell,878236,1445482
CMP10079,Prepaid Card Flash Sale,Car Loan,Existing Loan Customers,Indore,Call Center,2023-06-22,2023-08-11,378347,2270082,119494,22886,5.26,19.15,773478142,2043.36,Cancelled,Acquisition,2817242,281454
CMP10080,HNI Exclusive Mutual Fund,EMI Card,First-Time Borrowers,Lucknow,SMS,2024-11-06,2025-02-04,3292735,23049145,532235,53435,2.31,10.04,2566376180,778.41,Scheduled,Retention,720674,1303480
CMP10081,Premium Exclusive Savings Account,Mutual Fund,First-Time Borrowers,Lucknow,Push Notification,2026-02-18,2026-03-20,1122011,14586143,1540673,293600,10.56,19.06,14656218400,13061.46,Active,Upsell,4089136,810328
CMP10082,Credit Card Upgrade Flash Sale,Home Loan,Senior Citizens,Coimbatore,Email,2024-04-08,2024-05-04,697307,4881149,392670,85949,8.04,21.89,999414972,1432.25,Active,Retention,1398643,1840735
CMP10083,Pre-Approved Gold Loan Drive,Demat Account,Women Professionals,Nagpur,Push Notification,2023-03-31,2023-06-05,2042547,20425470,1016050,174881,4.97,17.21,6019404020,2946.01,Paused,Cross-sell,4228687,2217326
CMP10084,Limited Period EMI Card,Education Loan,HNI Customers,Kolkata,Email,2025-05-07,2025-06-17,1210971,8476797,183722,11103,2.17,6.04,405203985,333.61,Scheduled,Re-engagement,1246050,1839892
CMP10085,Gold Loan Flash Sale,NRI Account,Salaried Millennials,Chandigarh,Email,2023-07-07,2023-07-26,2982532,8947596,426381,56699,4.77,13.3,1756648418,587.98,Paused,Retention,1164269,165655
CMP10086,Year-End Education Loan Fest,Home Loan,Low-Balance Customers,Indore,Push Notification,2024-08-10,2024-08-31,3985180,39851800,1958486,338954,4.91,17.31,3454619168,865.87,Paused,Retention,2536239,516069
CMP10087,Exclusive Personal Loan Deal,Current Account,Students,Lucknow,Email,2023-04-08,2023-06-08,3884546,15538184,1423432,102731,9.16,7.22,3878711636,997.5,Completed,Re-engagement,2969635,1013999
CMP10088,Credit Card Upgrade Flash Sale,Car Loan,High-Value Transactors,Delhi NCR,Push Notification,2026-03-14,2026-06-10,768181,8449991,692422,169595,8.19,24.49,1600128825,2082.01,Scheduled,Upsell,2137772,73124
CMP10089,Home Loan Zero Cost,Demat Account,SMB Owners,Nagpur,SMS,2025-01-01,2025-03-10,2072710,29017940,2667727,483981,9.19,18.14,5707587933,2752.68,Active,Retention,539325,1924647
CMP10090,Instant Credit Card Upgrade Promo,Education Loan,Salaried Gen-Z,Pune,WhatsApp,2023-03-17,2023-04-29,417473,6262095,525748,47261,8.4,8.99,366083706,875.9,Paused,Acquisition,2794386,1150953
CMP10091,Instant Senior Citizen FD Promo,Current Account,HNI Customers,Indore,WhatsApp,2023-09-12,2023-09-29,3405625,47678750,1708072,235623,3.58,13.79,7148566197,2098.05,Scheduled,Re-engagement,1523778,2292885
CMP10092,Premium Car Loan Upgrade,Fixed Deposit,First-Time Borrowers,Pan India,WhatsApp,2024-08-24,2024-10-25,721666,5773328,674659,122911,11.69,18.22,3083345346,4271.54,Paused,Brand Awareness,491154,319745
CMP10093,Pongal Credit Card Offer,Credit Card Upgrade,First-Time Borrowers,Kochi,WhatsApp,2025-04-11,2025-06-06,1392065,4176195,515121,40465,12.33,7.86,1813519905,1301.76,Cancelled,Acquisition,1297132,2853192
CMP10094,Business Loan Flash Sale,Demat Account,Salaried Millennials,Kolkata,WhatsApp,2025-07-10,2025-09-18,3774032,56610480,5441078,355721,9.61,6.54,4988275583,1320.74,Cancelled,Cross-sell,4721652,498925
CMP10095,Pre-Approved Home Loan Drive,NRI Account,Dormant Account Holders,Bangalore,WhatsApp,2024-06-20,2024-08-06,1849947,22199364,2769082,296611,12.47,10.71,11031259701,5962.01,Paused,Brand Awareness,554748,2311855
CMP10096,Self-Employed Credit Card Upgrade Campaign,Life Insurance,Self-Employed,North India,WhatsApp,2026-01-15,2026-01-25,1371249,19197486,1668321,320172,8.69,19.19,14981488224,10924.43,Paused,Re-engagement,4810610,1552325
CMP10097,Current Account Flash Sale,Home Loan,HNI Customers,Nagpur,Call Center,2025-08-15,2025-10-20,773227,3092908,216153,24178,6.99,11.19,879329682,1136.22,Cancelled,Upsell,1086548,2317334
CMP10098,Limited Period Credit Card Upgrade,Home Loan,Healthcare Workers,Ahmedabad,Email,2026-04-18,2026-06-08,3679065,40469715,2423804,562667,5.99,23.21,4856378877,1319.0,Cancelled,Upsell,671524,1056114
CMP10099,Car Loan Special Offer,Health Insurance,Senior Citizens,Pan India,Call Center,2024-02-07,2024-03-28,1100004,14300052,252667,27936,1.77,11.06,1116378432,1013.89,Cancelled,Acquisition,248014,345673
CMP10100,Christmas Senior Citizen FD Offer,Health Insurance,High-Value Transactors,Ahmedabad,Call Center,2023-04-04,2023-06-01,1818388,27275820,718134,118080,2.63,16.44,5373584640,2954.14,Paused,Cross-sell,622142,2893254
CMP10101,Exclusive Mutual Fund Deal,NRI Account,First-Time Borrowers,South India,Email,2023-05-03,2023-07-20,3536487,35364870,647179,92474,1.83,14.29,2523985356,712.7,Completed,Upsell,2037844,1961527
CMP10102,October Gold Loan Bonanza,NRI Account,Healthcare Workers,Pune,WhatsApp,2023-09-08,2023-10-05,2129694,10648470,1132677,78565,10.64,6.94,1887052735,885.07,Scheduled,Re-engagement,3925929,2096949
CMP10103,Pre-Approved Credit Card Drive,Personal Loan,High-Value Transactors,Lucknow,Push Notification,2024-09-23,2024-12-07,805386,7248474,347980,52575,4.8,15.11,1092298200,1355.24,Completed,Acquisition,3624884,566763
CMP10104,Demat Account Flash Sale,Business Loan,Low-Balance Customers,Nagpur,WhatsApp,2024-06-25,2024-09-10,3119705,9359115,832211,108284,8.89,13.01,4588317932,1469.75,Paused,Re-engagement,1006659,544653
CMP10105,Pre-Approved Business Loan Drive,Demat Account,Students,Chandigarh,Push Notification,2023-07-18,2023-09-23,2894453,31838983,3511664,835037,11.03,23.78,12069624798,4168.92,Cancelled,Cross-sell,1259404,2547840
CMP10106,Forex Card EMI Special,Mutual Fund,High-Value Transactors,East India,Email,2025-11-21,2026-01-05,2722023,13610115,560405,72062,4.12,12.86,3271758924,1200.96,Scheduled,Acquisition,3100009,1394319
CMP10107,Q3 Health Insurance Fest,Forex Card,Salaried Gen-Z,East India,Push Notification,2023-08-13,2023-10-20,2630988,39464820,2292519,526714,5.81,22.98,24354728646,9255.88,Active,Re-engagement,3199267,624816
CMP10108,September Current Account Bonanza,Forex Card,High-Value Transactors,Delhi NCR,SMS,2024-05-11,2024-06-04,971870,5831220,467564,25149,8.02,5.38,642758142,660.36,Cancelled,Retention,4715059,1368356
CMP10109,Instant Demat Account Promo,Business Loan,Self-Employed,Jaipur,Call Center,2025-09-06,2025-11-23,2681947,13409735,523298,74273,3.9,14.19,2966389347,1105.06,Paused,Retention,2506571,1217171
CMP10110,Pune Forex Card Push,Mutual Fund,Students,Lucknow,Push Notification,2024-02-29,2024-03-12,4074882,32599056,752480,121975,2.31,16.21,2795788975,685.1,Paused,Brand Awareness,672946,1457753
CMP10111,Students Exclusive Health Insurance,Senior Citizen FD,Women Professionals,Ahmedabad,WhatsApp,2025-06-24,2025-08-01,1845051,11070306,653713,140934,5.91,21.56,3208785312,1738.13,Completed,Brand Awareness,4464698,951535
CMP10112,Pongal Personal Loan Offer,Fixed Deposit,High-Value Transactors,North India,SMS,2024-04-21,2024-07-20,3517023,28136184,763587,147732,2.71,19.35,1712066148,485.79,Active,Upsell,2704149,1202118
CMP10113,SMB Exclusive Current Account,Forex Card,SMB Owners,Lucknow,SMS,2023-05-02,2023-05-13,1998004,21978044,2103859,416011,9.57,19.77,3096785884,1548.94,Completed,Upsell,4774409,2533255
CMP10114,Dormant Exclusive Credit Card Upgrade,Life Insurance,Healthcare Workers,Kolkata,WhatsApp,2023-08-08,2023-10-12,3861356,50197628,6516075,1033841,12.98,15.87,38633604329,10004.19,Paused,Brand Awareness,1571951,64073
CMP10115,Low-Balance Exclusive Current Account,Forex Card,Mass Affluent,Kolkata,WhatsApp,2024-11-21,2024-12-15,1670354,8351770,884950,152380,10.6,17.22,7140374420,4273.77,Scheduled,Upsell,2090769,33647
CMP10116,Chennai Health Insurance Push,Gold Loan,Mass Affluent,Nagpur,Push Notification,2024-06-18,2024-08-03,3797489,56962335,6066680,627287,10.65,10.34,16687088774,4393.24,Active,Cross-sell,4225447,2955932
CMP10117,Premium NRI Account Upgrade,Life Insurance,NRI Customers,North India,SMS,2024-09-28,2024-12-12,3133181,37598172,3176208,299103,8.45,9.42,4113563559,1311.9,Active,Retention,696777,2209134
CMP10118,Women Exclusive Education Loan,Demat Account,Healthcare Workers,South India,Call Center,2025-07-03,2025-09-04,705173,8462076,292701,21203,3.46,7.24,866990670,1228.47,Completed,Brand Awareness,1733032,2450898
CMP10119,NRI Account Flash Sale,Credit Card Upgrade,IT Professionals,Mumbai,SMS,2025-09-28,2025-11-24,3786979,56804685,5249371,320879,9.24,6.11,4379035713,1155.34,Paused,Acquisition,1837888,2430613
CMP10120,Salaried Exclusive Senior Citizen FD,Current Account,Students,Indore,SMS,2023-05-30,2023-07-23,2940117,41161638,2506179,157267,6.09,6.28,1407225116,477.63,Scheduled,Cross-sell,3176668,1580571
CMP10121,January Home Loan Bonanza,Home Loan,Dormant Account Holders,West India,Call Center,2023-06-14,2023-08-14,2967305,11869220,1184325,101490,9.98,8.57,4080811410,1374.26,Cancelled,Cross-sell,1936561,1043140
CMP10122,Q2 Prepaid Card Fest,Home Loan,Mass Affluent,Pan India,WhatsApp,2025-08-01,2025-08-12,2362317,14173902,2010092,477360,14.18,23.75,5916877200,2503.69,Scheduled,Re-engagement,418326,1031489
CMP10123,Self-Employed Life Insurance Campaign,NRI Account,Senior Citizens,Chandigarh,Push Notification,2023-04-01,2023-05-08,2015780,22173580,1072987,100274,4.84,9.35,872283526,431.73,Paused,Retention,4382570,932120
CMP10124,Pongal EMI Card Offer,Health Insurance,Existing Loan Customers,South India,WhatsApp,2025-04-26,2025-06-12,561349,6174839,213168,51097,3.45,23.97,841925269,1498.83,Scheduled,Cross-sell,1261728,1262823
CMP10125,Limited Period NRI Account,EMI Card,NRI Customers,South India,Email,2025-02-09,2025-03-05,4022163,24132978,939573,206582,3.89,21.99,5104434638,1268.08,Scheduled,Retention,2149058,857856
CMP10126,Year-End Business Loan Fest,NRI Account,Retired Professionals,East India,SMS,2024-11-07,2025-01-24,3162823,12651292,643563,101121,5.09,15.71,1767898443,557.96,Active,Cross-sell,1762288,1401553
