metric_id,campaign_id,measurement_date,impressions,unique_impressions,clicks,unique_clicks,conversions,conversion_value,acquisition_cost,cost_per_click,cost_per_conversion,revenue_generated,profit,roi_score,roas,customer_acquisition_cost,lifetime_value_generated,attribution_model,benchmark_roi,performance_vs_benchmark
ROI40026,CMP12571,2026-03-12,18357668,12129503,976408,769498,138662,5130909986,2852179,2.92,20.57,6592962114,6590109935,231055.27,2311.55,20.57,51228953224,Position Based,1.62,Below
ROI40027,CMP15820,2024-01-06,20794449,17015356,1549204,1184936,221688,4588054848,1647717,1.06,7.43,3294505368,3292857651,199843.64,1999.44,7.43,101171530872,Position Based,2.5,At
ROI40028,CMP12674,2025-01-09,66990186,53888411,2861466,2009636,584372,11287729552,4714055,1.65,8.07,24803669540,24798955485,526064.19,5261.64,8.07,32287137372,First Click,2.81,Above
ROI40029,CMP16122,2024-12-12,9385692,7754870,263771,193585,56037,1540681278,890333,3.38,15.89,2336742900,2335852567,262357.18,2624.57,15.89,11533591377,Last Click,4.71,At
ROI40030,CMP18311,2024-06-06,35690456,29195697,2166661,1671260,413551,6311201811,2775245,1.28,6.71,7773104596,7770329351,279987.15,2800.87,6.71,28614834343,First Click,2.73,Above
ROI40031,CMP11581,2024-08-20,15594429,13931077,477048,383525,94111,2573747628,1782624,3.74,18.94,1603463218,1601680594,89849.6,899.5,18.94,12052701659,Time Decay,2.84,Above
ROI40032,CMP15072,2025-11-12,17491486,11417073,1614969,1439904,165209,1653576881,1740838,1.08,10.54,8040061194,8038320356,461750.05,4618.5,10.54,51440135076,Last Click,3.0,Above
ROI40033,CMP15972,2024-06-25,21718745,13462812,929169,865480,205820,6871506520,2200157,2.37,10.69,3984675200,3982475043,181008.68,1811.09,10.69,23844247000,First Click,1.84,Below
ROI40034,CMP10222,2024-03-01,34194500,24725326,3208554,2746963,468686,16493060340,3004784,0.94,6.41,19870880342,19867875558,661208.11,6613.08,6.41,202382364288,Time Decay,2.3,At
ROI40035,CMP16318,2026-02-04,55549386,36930193,4100026,2893719,451932,5672650464,3615324,0.88,8.0,14511536520,14507921196,401289.65,4013.9,8.0,191550022404,Last Click,4.03,Below
ROI40036,CMP14679,2024-09-14,15138806,11421233,1420180,1029799,73428,1457692656,1828224,1.29,24.9,3218128956,3216300732,175924.87,1760.25,24.9,13217921136,Position Based,4.05,Above
ROI40037,CMP11393,2025-03-02,5935383,4568193,176101,147308,26313,835411437,2103893,11.95,79.96,490605885,488501992,23218.96,233.19,79.96,12439891758,Last Click,2.66,Below
ROI40038,CMP13368,2026-02-09,30277354,19833063,1439856,1031270,153089,6285375073,4750573,3.3,31.03,1429851260,1425100687,29998.5,300.99,31.03,43000709943,Last Click,3.92,At
ROI40039,CMP14012,2023-07-23,25741408,15890760,1312436,1160672,107481,4678540449,2749824,2.1,25.58,2317720284,2314970460,84186.13,842.86,25.58,39621795840,Position Based,2.5,At
ROI40040,CMP15327,2025-10-05,18122590,13639299,405667,294961,69345,1021798575,4284608,10.56,61.79,2110237695,2105953087,49151.59,492.52,61.79,11495112615,Position Based,4.81,Above
ROI40041,CMP15827,2026-03-14,30978371,20014995,2660078,2412973,225508,2335586356,2497920,0.94,11.08,1142874544,1140376624,45653.05,457.53,11.08,60317526792,Time Decay,2.84,At
ROI40042,CMP11320,2023-09-22,12369100,8215027,291327,236319,39037,682600982,910242,3.12,23.32,552139328,551229086,60558.52,606.59,23.32,8197652889,First Click,3.87,Above
ROI40043,CMP19850,2025-09-01,2682464,2263781,227450,174830,41666,2017801048,858967,3.78,20.62,284620446,283761479,33035.2,331.35,20.62,4090601216,Linear,4.17,Below
ROI40044,CMP16526,2025-08-17,4704465,3062465,673869,515808,127528,3534693576,865025,1.28,6.78,3001626536,3000761511,346898.82,3469.99,6.78,25667815616,First Click,4.86,Below
ROI40045,CMP14057,2026-04-19,5384579,4618671,444775,351925,31429,769004772,1728145,3.89,54.99,556544732,554816587,32104.75,322.05,54.99,14701574759,Last Click,1.99,Below
ROI40046,CMP12112,2023-01-25,46206784,33816318,2103989,1492213,374489,8172473447,4063117,1.93,10.85,11294962729,11290899612,277887.63,2779.88,10.85,155897523766,Time Decay,2.03,Below
ROI40047,CMP19071,2023-09-27,6949808,4765676,971680,681264,164414,1676365144,1382984,1.42,8.41,5260425930,5259042946,380267.81,3803.68,8.41,67128592060,Time Decay,2.95,Below
ROI40048,CMP11173,2023-09-10,28381299,19956165,2130180,1851681,255058,5863273304,1870604,0.88,7.33,11297539052,11295668448,603851.4,6039.51,7.33,79465105306,Linear,2.42,Above
ROI40049,CMP15175,2024-08-19,12366739,8098054,635263,594914,123494,1865623858,1007589,1.59,8.16,4241401430,4240393841,420845.59,4209.46,8.16,18965591050,Time Decay,3.29,Below
ROI40050,CMP14265,2023-07-14,11423511,8996981,1276001,1167282,72762,3055203618,2329581,1.83,32.02,2230810158,2228480577,95660.15,957.6,32.02,19860242376,Position Based,3.96,Below
ROI40051,CMP18657,2024-09-19,186457,115152,14559,10954,2430,107629560,50977,3.5,20.98,62861670,62810693,123213.79,1233.14,20.98,1026915570,Position Based,3.65,Above
ROI40052,CMP16682,2024-03-10,28785194,17315502,1238422,1064336,254525,12596696775,2090975,1.69,8.22,6128962000,6126871025,293015.03,2931.15,8.22,35968963950,Last Click,3.21,Below
ROI40053,CMP14018,2024-10-08,4092824,3641603,631933,450147,89447,616647618,557215,0.88,6.23,3782624183,3782066968,678744.64,6788.45,6.23,30322890788,Position Based,4.05,At
ROI40054,CMP17178,2023-12-02,17291748,10440155,1821449,1467026,139194,4348002978,4748503,2.61,34.11,2953000710,2948252207,62088.04,621.88,34.11,16016496804,Linear,2.62,Below
ROI40055,CMP11203,2025-04-22,15890758,11030469,260754,234810,43389,632871954,2150363,8.25,49.56,994172157,992021794,46132.76,462.33,49.56,17253852795,Linear,4.46,At
ROI40056,CMP19913,2023-06-24,24660889,16740921,637597,594705,63036,1121410440,2813512,4.41,44.63,535742964,532929452,18941.79,190.42,44.63,10847865240,Last Click,2.99,Above
ROI40057,CMP12344,2024-02-05,3057696,1897365,167958,140220,41434,422212460,459208,2.73,11.08,1737327620,1736868412,378231.31,3783.31,11.08,3152878796,Position Based,4.41,Below
ROI40058,CMP13775,2023-08-08,48939123,40215892,3907789,3546085,807858,29827733076,3571782,0.91,4.42,12572694054,12569122272,351900.6,3520.01,4.42,323384749542,Linear,3.59,At
ROI40059,CMP14992,2024-04-20,26703041,19334419,1767065,1417866,288003,2149078386,4606014,2.61,15.99,13216457670,13211851656,286839.16,2869.39,15.99,57420598125,Position Based,3.97,At
ROI40060,CMP15332,2024-08-31,47272948,35330332,2245737,1852533,438227,17639074977,4233183,1.88,9.66,2977752465,2973519282,70243.11,703.43,9.66,112238261013,Time Decay,1.99,Above
ROI40061,CMP17726,2025-02-18,35716327,27787816,1051367,843307,76360,1027652880,2725737,2.59,35.7,3119993240,3117267503,114364.21,1144.64,35.7,23202444160,Time Decay,3.36,At
ROI40062,CMP17424,2025-10-15,7402494,4838351,456123,330521,39727,1099087182,1555239,3.41,39.15,1490596767,1489041528,95743.58,958.44,39.15,11425207111,Position Based,4.01,Below
ROI40063,CMP15371,2026-04-20,10226465,7002080,566459,397349,105674,2210700080,929970,1.64,8.8,2501831950,2500901980,268922.87,2690.23,8.8,6404795466,Linear,4.02,At
ROI40064,CMP19829,2026-03-08,12814559,8147085,1178693,1047462,138036,1630205160,4093997,3.47,29.66,5296027212,5291933215,129260.8,1293.61,29.66,14218260144,Linear,3.94,Below
ROI40065,CMP18087,2025-11-28,47068510,35765686,5161389,4805714,389113,11136803173,3211035,0.62,8.25,17110855062,17107644027,532776.63,5328.77,8.25,187295651420,Time Decay,4.07,Below
ROI40066,CMP10404,2025-05-06,1432729,1271688,139000,116009,10653,513847455,136572,0.98,12.82,278938152,278801580,204142.56,2042.43,12.82,2542839141,Last Click,1.82,Below
ROI40067,CMP16785,2024-10-25,4525834,3831271,426940,325496,86965,787815935,310829,0.73,3.57,1354566840,1354256011,435691.65,4357.92,3.57,30922058085,Time Decay,4.62,Above
ROI40068,CMP15733,2023-09-15,9743008,6444496,887726,789258,193994,1182393430,1176185,1.32,6.06,1485994040,1484817855,126240.16,1263.4,6.06,88508598536,Time Decay,1.94,Below
ROI40069,CMP17433,2025-06-17,32142579,23037868,1116156,941486,258409,12771606416,3160847,2.83,12.23,8236786875,8233626028,260487.97,2605.88,12.23,107257565221,Linear,3.21,Above
ROI40070,CMP12346,2023-02-01,20481401,17193038,1726834,1294675,342262,13841075280,3377997,1.96,9.87,15311775094,15308397097,453179.71,4532.8,9.87,117121714138,First Click,3.03,Above
ROI40071,CMP10338,2023-11-12,9211279,6825714,836654,600273,161541,2812105728,941287,1.13,5.83,1901176029,1900234742,201876.23,2019.76,5.83,72860968017,Last Click,2.44,Above
ROI40072,CMP13777,2026-02-24,40438877,24317109,5073009,4230585,318670,12931628600,2754234,0.54,8.64,7836732640,7833978406,284434.02,2845.34,8.64,126651567460,Last Click,2.87,Above
ROI40073,CMP19766,2025-12-09,20347540,14805188,715972,530987,137379,2989504419,3815625,5.33,27.77,6505033029,6501217404,170384.08,1704.84,27.77,60931982628,Last Click,3.13,Above
ROI40074,CMP10653,2024-10-20,8569681,6098387,709458,510387,46331,2256736679,2314912,3.26,49.96,1763496853,1761181941,76079.87,761.8,49.96,5559812662,Time Decay,2.55,Above
ROI40075,CMP12833,2024-07-07,48305825,36959306,1065392,952885,155724,2256752208,3262381,3.06,20.95,3025561596,3022299215,92640.9,927.41,20.95,77266667148,First Click,2.87,Below
ROI40076,CMP19549,2026-04-17,12435053,8951043,813560,694666,99006,4880203752,1263761,1.55,12.76,3798266184,3797002423,300452.57,3005.53,12.76,17497528392,Last Click,4.51,At
ROI40077,CMP18365,2024-04-25,18492125,11416002,1377420,1157811,243263,5759981314,2839551,2.06,11.67,9284862184,9282022633,326883.46,3269.83,11.67,112874518526,First Click,2.79,Above
ROI40078,CMP19184,2025-09-20,1931773,1237577,183126,153148,11518,249514434,709836,3.88,61.63,116711894,116002058,16342.09,164.42,61.63,3963689340,First Click,3.09,Above
ROI40079,CMP14490,2025-06-23,4479733,3683460,411545,364452,80105,2230523725,609426,1.48,7.61,2153783135,2153173709,353311.76,3534.12,7.61,5092675375,Linear,4.16,Above
ROI40080,CMP12462,2025-02-27,30828836,24297748,3297212,2596511,597963,20121454950,2192204,0.66,3.67,10911628824,10909436620,497646.96,4977.47,3.67,169850792187,First Click,3.61,Above
ROI40081,CMP14660,2024-09-08,36941085,30450491,3045476,2575442,712499,6300628657,2799965,0.92,3.93,33208865891,33206065926,1185945.75,11860.46,3.93,240603787310,First Click,3.25,Above
ROI40082,CMP16688,2023-02-16,14312366,9078329,708962,591536,168144,1679926704,1050184,1.48,6.25,2984387856,2983337672,284077.62,2841.78,6.25,67241962608,Time Decay,4.6,At
ROI40083,CMP14956,2023-09-24,51141563,34614477,4401549,3929430,680487,32880451353,3917037,0.89,5.76,29908084137,29904167100,763438.46,7635.38,5.76,117575224347,Time Decay,2.42,Below
ROI40084,CMP19827,2026-03-22,281645,194522,16592,15109,1080,14638320,75136,4.53,69.57,21649680,21574544,28713.99,288.14,69.57,265926240,First Click,3.13,Above
ROI40085,CMP15845,2026-01-27,12870426,10947415,1959303,1828891,436338,2337462666,4707461,2.4,10.79,6327337338,6322629877,134310.83,1344.11,10.79,66980937366,Linear,2.81,Below
ROI40086,CMP14431,2025-07-14,25748137,15978748,2054219,1467228,481799,14434698040,3117231,1.52,6.47,15526936373,15523819142,498000.28,4981.0,6.47,59425088660,Linear,1.91,Below
ROI40087,CMP16235,2025-07-21,22214032,15014121,1738768,1416857,298946,13875279644,1628220,0.94,5.45,5875783630,5874155410,360771.6,3608.72,5.45,18389962136,Time Decay,4.21,Below
ROI40088,CMP13917,2025-04-15,43693475,37465329,4766543,3499415,1038204,5889731292,2862932,0.6,2.76,25187867244,25185004312,879692.72,8797.93,2.76,141080503356,Time Decay,3.33,At
ROI40089,CMP12385,2025-09-03,40246510,26241593,2559724,1945617,573721,5255858081,4061423,1.59,7.08,20428483647,20424422224,502888.33,5029.88,7.08,223884293272,Time Decay,4.9,Below
ROI40090,CMP11381,2025-06-22,13768583,11348909,538776,497566,62570,2161418080,2576584,4.78,41.18,2175058340,2172481756,84316.36,844.16,41.18,16822945620,Linear,1.79,Above
ROI40091,CMP18091,2023-06-24,18259239,12789166,1886011,1671353,457490,2423782020,2977198,1.58,6.51,4218057800,4215080602,141578.78,1416.79,6.51,221861605460,Time Decay,4.96,Below
ROI40092,CMP11383,2025-11-11,28271750,18732222,3612205,2877747,527670,7389490680,3436613,0.95,6.51,6203288520,6199851907,180405.88,1805.06,6.51,201515589990,Last Click,2.57,Above
ROI40093,CMP17638,2024-04-20,2724585,1728652,206503,192803,47961,1585350855,855638,4.14,17.84,1024255116,1023399478,119606.6,1197.07,17.84,21481779861,Position Based,3.76,Above
ROI40094,CMP13471,2025-06-14,24401201,18611051,538213,453587,132948,5314729248,3476990,6.46,26.15,5016925728,5013448738,144189.33,1442.89,26.15,45583216020,Time Decay,1.68,At
ROI40095,CMP18644,2025-03-25,2964415,2078345,115708,96180,14740,692323060,397302,3.43,26.95,511006320,510609018,128519.12,1286.19,26.95,2558554460,Linear,2.2,At
ROI40096,CMP18464,2025-03-01,31454393,23737582,2930962,2684055,713834,23667166270,2681353,0.91,3.76,11903895784,11901214431,443851.09,4439.51,3.76,337809805322,Position Based,2.76,At
ROI40097,CMP10289,2023-05-23,29075976,19330652,1121401,933166,209643,2702088627,3657652,3.26,17.45,8962028607,8958370955,244921.36,2450.21,17.45,77892018078,Linear,4.31,Above
ROI40098,CMP14552,2024-02-20,3234124,2493087,48175,34510,5281,52978992,254744,5.29,48.24,126944678,126689934,49732.25,498.32,48.24,828002709,Linear,3.31,At
ROI40099,CMP11148,2023-06-14,1686252,1416831,184883,157096,40299,303733563,563437,3.05,13.98,674605260,674041823,119630.38,1197.3,13.98,18391818816,Linear,4.61,Above
ROI40100,CMP14474,2024-07-17,43786325,28423253,3111814,2513604,461650,5752620650,3519248,1.13,7.62,17990500500,17986981252,511102.98,5112.03,7.62,140912661050,First Click,3.51,Above
ROI40101,CMP17244,2023-07-26,39524350,25559876,3540775,2947120,685096,7682666544,3494655,0.99,5.1,20670716512,20667221857,591395.2,5914.95,5.1,335407929488,Last Click,3.01,Above
ROI40102,CMP17083,2023-06-29,60168899,49518498,3662752,3450059,320672,4167132640,4661609,1.27,14.54,12615877824,12611216215,270533.55,2706.34,14.54,98370946080,First Click,2.14,Below
ROI40103,CMP13442,2025-10-10,19896282,12632355,1492835,1348647,219328,1300615040,2120320,1.42,9.67,9441412416,9439292096,445182.43,4452.82,9.67,25100554304,Time Decay,4.22,Above
ROI40104,CMP11555,2024-04-15,43614706,37392325,1590784,1329324,135132,1814552496,4538156,2.85,33.58,2053330740,2048792584,45145.93,452.46,33.58,27194909604,First Click,2.39,At
ROI40105,CMP18346,2025-05-23,28748767,17994606,3234926,2425406,657535,30194664735,3306814,1.02,5.03,19601775885,19598469071,592669.23,5927.69,5.03,260721175455,Linear,4.38,Above
ROI40106,CMP18933,2025-05-27,14318570,12555914,591452,513039,56828,1479062356,1970190,3.33,34.67,2241012180,2239041990,113645.99,1137.46,34.67,13766583000,Linear,4.7,At
ROI40107,CMP11510,2024-12-31,41901381,30808797,3089640,2315866,396080,4948623520,2542417,0.82,6.42,11876854880,11874312463,467048.19,4671.48,6.42,90620331440,Last Click,3.1,Below
ROI40108,CMP10470,2023-04-19,52451281,34130780,5981768,4875466,1230621,54393448200,3433702,0.57,2.79,49510344072,49506910370,1441794.03,14418.94,2.79,473517117759,Linear,2.09,Above
ROI40109,CMP18007,2024-06-08,29679232,23769614,2898808,2065795,511634,12930014448,4385119,1.51,8.57,13207831710,13203446591,301096.65,3011.97,8.57,249935767170,Linear,4.4,At
ROI40110,CMP16283,2024-10-04,9898835,7632385,980632,847670,225651,5548306788,1146580,1.17,5.08,5722509360,5721362780,498993.77,4990.94,5.08,96039096459,Linear,3.11,Below
ROI40111,CMP15739,2024-08-05,8858108,6471423,154803,140827,18039,335525400,900749,5.82,49.93,722263521,721362772,80084.77,801.85,49.93,4314315474,Linear,4.95,At
ROI40112,CMP16770,2024-07-28,2382013,1859603,104207,76659,11312,354269216,826126,7.93,73.03,286646080,285819954,34597.62,346.98,73.03,5125682128,First Click,2.93,Below
ROI40113,CMP18767,2024-07-16,18610826,16506828,2360485,1688861,325148,4176200912,2312339,0.98,7.11,4175225468,4172913129,180462.86,1805.63,7.11,57583060504,Position Based,4.47,At
ROI40114,CMP12752,2023-10-28,9904190,7848542,875433,655231,191171,2820728105,1275641,1.46,6.67,6360067999,6358792358,498478.2,4985.78,6.67,92040042634,Position Based,4.93,At
ROI40115,CMP19916,2025-03-08,52899843,42924640,5840527,5459888,424514,11031420804,4676422,0.8,11.02,9093938908,9089262486,194363.61,1944.64,11.02,39985398174,First Click,4.67,At
ROI40116,CMP17396,2025-01-12,31373323,25740480,717445,520673,111830,1387362980,4774002,6.65,42.69,1003897910,999123908,20928.44,210.28,42.69,35317255960,Last Click,3.5,Below
ROI40117,CMP16083,2026-01-17,59932265,49215806,3281375,2872271,229240,1972610200,4621131,1.41,20.16,9972169240,9967548109,215694.99,2157.95,20.16,50720496200,Position Based,1.66,At
ROI40118,CMP12394,2025-04-30,44602970,34206248,1240924,925996,125857,3474534199,4140225,3.34,32.9,5069771674,5065631449,122351.6,1224.52,32.9,10196178998,Time Decay,4.62,Above
ROI40119,CMP14532,2023-03-07,65623156,41165851,2246641,1805097,535680,9898830720,4475314,1.99,8.35,3002486400,2998011086,66989.96,670.9,8.35,105348435840,First Click,4.63,At
ROI40120,CMP14833,2023-03-31,40305561,28664180,3349336,3007797,514273,19433862397,2890011,0.86,5.62,5074331691,5071441680,175481.74,1755.82,5.62,143590678603,Time Decay,3.99,Above
ROI40121,CMP18165,2024-11-10,13199940,10217774,761809,562680,168186,2679539352,3493724,4.59,20.77,4178581170,4175087446,119502.5,1196.02,20.77,61762608408,First Click,3.25,Above
ROI40122,CMP16502,2023-02-24,1778500,1160797,34405,27689,3563,21146405,432326,12.57,121.34,92506169,92073843,21297.32,213.97,121.34,1152366838,Position Based,3.36,Above
ROI40123,CMP18397,2024-08-07,7542077,4569836,484546,454816,43839,637287543,1852714,3.82,42.26,2187960651,2186107937,117994.89,1180.95,42.26,18201865122,Position Based,4.48,Above
ROI40124,CMP15914,2023-07-30,42399081,37290927,3007794,2572521,291551,13699689939,3922371,1.3,13.45,13974039430,13970117059,356165.11,3562.65,13.45,20634813576,Time Decay,1.99,Above
ROI40125,CMP18424,2023-04-06,7180116,4624919,111301,80713,8232,200309256,1716539,15.42,208.52,182454048,180737509,10529.18,106.29,208.52,3673200720,Last Click,2.16,Above
ROI40126,CMP12664,2024-12-19,57649454,42552097,5173389,4073941,954054,18691825968,4618211,0.89,4.84,21324060954,21319442743,461638.56,4617.39,4.84,214053463548,Last Click,2.33,Above
ROI40127,CMP12426,2023-02-25,3363411,2504451,339326,306895,37439,1214333965,729088,2.15,19.47,489215413,488486325,66999.64,671.0,19.47,11461987289,Time Decay,2.23,Above
ROI40128,CMP12362,2025-11-13,21587932,18144299,1528619,1230089,227120,2031588400,1982448,1.3,8.73,2284145840,2282163392,115118.45,1152.18,8.73,30556043440,Position Based,2.51,Above
ROI40129,CMP18937,2026-01-27,46752060,35586093,1155642,838631,95974,720476818,3405271,2.95,35.48,3479345422,3475940151,102075.29,1021.75,35.48,17497115914,Last Click,1.57,At
ROI40130,CMP13457,2025-11-04,27406068,23128755,1531557,1359449,265164,5198275056,2964322,1.94,11.18,12255084588,12252120266,413319.48,4134.19,11.18,38544504204,Last Click,2.35,Below
ROI40131,CMP18287,2025-08-31,25555221,20013713,1858021,1596400,356434,17340514100,3883794,2.09,10.9,14857594856,14853711062,382453.63,3825.54,10.9,18850368524,Last Click,1.61,At
ROI40132,CMP10343,2024-01-25,3072910,2489203,92623,82375,19835,258132690,469078,5.06,23.65,225642960,225173882,48003.51,481.04,23.65,3621394960,Linear,2.8,Above
ROI40133,CMP18663,2025-07-01,7518609,5546905,139050,100113,22484,753281452,618355,4.45,27.5,1065831536,1065213181,172265.64,1723.66,27.5,5649802004,Position Based,2.47,At
ROI40134,CMP18674,2024-10-06,50566610,41719508,2347476,1949862,539931,22731095100,3211208,1.37,5.95,18753963354,18750752146,583915.84,5840.16,5.95,60418818831,Linear,2.41,At
ROI40135,CMP17129,2023-06-04,2115558,1714888,140940,111513,24566,785546982,169944,1.21,6.92,588773322,588603378,346351.37,3464.51,6.92,12276539142,Linear,3.67,Below
ROI40136,CMP18136,2024-04-30,29799947,26340654,841899,756313,55748,2063233480,2134544,2.54,38.29,1490311284,1488176740,69718.72,698.19,38.29,9185374968,Time Decay,4.75,At
ROI40137,CMP11667,2024-05-15,28081969,23029626,1047855,887071,193067,9189989200,1893472,1.81,9.81,1313241734,1311348262,69256.28,693.56,9.81,31650438645,Position Based,3.89,Below
ROI40138,CMP17901,2024-03-02,38094399,30934218,2312269,1694290,176882,884586882,4498644,1.95,25.43,5825254906,5820756262,129389.13,1294.89,25.43,81821721796,Linear,3.37,At
ROI40139,CMP10517,2025-06-11,12996639,8000580,703680,586344,145342,6189534412,3226198,4.58,22.2,1902962806,1899736608,58884.69,589.85,22.2,18599706424,Last Click,3.07,At
ROI40140,CMP11620,2023-11-04,3087833,2184479,222607,193198,32683,448443443,951796,4.28,29.12,1397427031,1396475235,146720.02,1468.2,29.12,5529898234,Position Based,4.82,Above
ROI40141,CMP13938,2023-11-13,2605745,2146584,76668,68121,11622,546768612,803057,10.47,69.1,532461930,531658873,66204.38,663.04,69.1,5133181716,First Click,4.21,At
ROI40142,CMP10890,2025-12-20,21631058,14244539,957403,875121,232363,1191557464,2362030,2.47,10.17,5267901573,5265539543,222924.33,2230.24,10.17,20763957680,Last Click,2.47,Below
ROI40143,CMP16294,2023-10-29,9554680,5943044,629828,511196,83244,3243852192,712486,1.13,8.56,2521044540,2520332054,353737.77,3538.38,8.56,32952470376,Linear,2.7,Above
ROI40144,CMP11143,2025-08-03,39250727,25738662,3122287,2759581,674059,9145632512,3018744,0.97,4.48,9481987953,9478969209,314003.74,3141.04,4.48,147171345824,Last Click,4.17,At
ROI40145,CMP12418,2023-12-26,28612254,23458981,518249,414133,110068,5054432628,1938654,3.74,17.61,5239787140,5237848486,270179.64,2702.8,17.61,15255865072,Linear,1.58,Above
ROI40146,CMP12062,2024-08-08,22696420,17729563,1975212,1786298,255923,12085451829,2208012,1.12,8.63,8618462948,8616254936,390226.82,3903.27,8.63,83746706982,Last Click,4.26,Above
