qa_id,campaign_id,qa_date,tone_consistency,cta_alignment,compliance_status,brand_guidelines_check,disclaimer_present,regulatory_compliance,mismatch_reason,overall_qa_score,channels_reviewed,issues_found,critical_issues,reviewer_notes,approval_status,revision_count,time_to_approve_hours
QA50051,CMP19674,2024-08-23,Pass,Pass,Pass,Pass,True,Pass,,61.4,5,0,0,Approved,Approved,2,43
QA50052,CMP13806,2024-05-21,Warning,Warning,Fail,Pass,False,Warning,Aggressive wording detected,21.5,4,4,1,Needs revision,Rejected,2,17
QA50053,CMP18767,2023-06-07,Warning,Warning,Fail,Pass,True,Warning,Expiry date mismatch,24.6,2,1,1,Needs revision,Rejected,1,62
QA50054,CMP12033,2025-03-01,Fail,Fail,Warning,Warning,True,Warning,Contact information different,15.7,5,3,0,Minor fixes required,Conditional,1,2
QA50055,CMP12755,2025-07-08,Fail,Fail,Warning,Warning,True,Fail,Offer amount inconsistent,9.4,5,5,0,Minor fixes required,Conditional,1,7
QA50056,CMP10699,2023-08-12,Pass,Pass,Pass,Pass,True,Pass,,92.1,3,0,0,Approved,Approved,0,31
QA50057,CMP11598,2023-05-26,Pass,Pass,Fail,Pass,True,Fail,CTA differs across channels,31.2,3,4,1,Needs revision,Rejected,1,72
QA50058,CMP15848,2023-01-30,Pass,Pass,Pass,Pass,True,Pass,,48.8,5,0,0,Approved,Conditional,3,35
QA50059,CMP11794,2023-10-05,Warning,Warning,Warning,Warning,True,Fail,Product name variation,9.5,3,5,0,Minor fixes required,Conditional,1,61
QA50060,CMP13882,2025-06-13,Pass,Pass,Pass,Pass,True,Pass,,65.4,4,0,0,Approved,Approved,3,18
QA50061,CMP11102,2025-08-04,Pass,Pass,Pass,Pass,True,Pass,,81.3,3,0,0,Approved,Approved,0,41
QA50062,CMP18327,2025-02-20,Pass,Pass,Pass,Pass,True,Pass,,90.4,4,0,0,Approved,Approved,2,26
QA50063,CMP15703,2024-12-07,Fail,Pass,Warning,Pass,True,Fail,Regulatory language missing,27.2,3,3,0,Minor fixes required,Conditional,0,4
QA50064,CMP10324,2023-09-18,Fail,Warning,Warning,Warning,True,Warning,Interest rate not compliant,7.0,5,4,0,Minor fixes required,Conditional,1,15
QA50065,CMP14454,2023-01-14,Fail,Fail,Warning,Warning,True,Fail,Brand guidelines violation,2.5,3,4,0,Minor fixes required,Conditional,3,61
QA50066,CMP16222,2024-09-28,Pass,Pass,Pass,Pass,False,Pass,,55.7,2,0,0,Approved,Approved,1,46
QA50067,CMP14248,2023-01-15,Pass,Pass,Pass,Pass,True,Pass,,64.0,5,0,0,Approved,Approved,0,66
QA50068,CMP17095,2023-08-06,Pass,Pass,Pass,Pass,True,Pass,,98.2,2,0,0,Approved,Approved,2,37
QA50069,CMP14217,2025-09-24,Pass,Pass,Pass,Pass,True,Pass,,88.6,3,0,0,Approved,Approved,0,62
QA50070,CMP10474,2025-10-17,Pass,Pass,Pass,Pass,True,Pass,,54.9,2,0,0,Approved,Approved,1,6
QA50071,CMP14376,2025-02-17,Pass,Pass,Pass,Pass,True,Pass,,93.9,3,0,0,Approved,Approved,1,10
QA50072,CMP11831,2024-06-17,Pass,Pass,Pass,Pass,True,Pass,,72.0,5,0,0,Approved,Approved,1,53
QA50073,CMP17824,2024-01-04,Pass,Pass,Pass,Pass,False,Pass,,72.0,5,0,0,Approved,Approved,2,57
QA50074,CMP19429,2025-06-21,Warning,Pass,Fail,Pass,True,Fail,Aggressive wording detected,25.6,4,4,0,Needs revision,Rejected,2,15
QA50075,CMP18500,2026-03-11,Pass,Pass,Pass,Pass,True,Pass,,44.6,4,0,0,Approved,Conditional,3,6
QA50076,CMP17511,2024-01-06,Pass,Pass,Pass,Pass,True,Pass,,93.5,3,0,0,Approved,Approved,1,38
QA50077,CMP19576,2023-09-25,Pass,Pass,Pass,Pass,True,Pass,,43.5,3,0,0,Approved,Conditional,2,24
QA50078,CMP11033,2025-01-23,Pass,Pass,Pass,Pass,True,Pass,,65.5,5,0,0,Approved,Approved,0,24
QA50079,CMP12439,2025-01-16,Pass,Pass,Pass,Pass,True,Pass,,49.5,3,0,0,Approved,Conditional,2,59
QA50080,CMP19154,2025-07-09,Pass,Pass,Pass,Pass,True,Pass,,55.4,3,0,0,Approved,Approved,1,23
QA50081,CMP17778,2025-05-11,Pass,Pass,Pass,Pass,True,Pass,,52.5,2,0,0,Approved,Approved,0,65
QA50082,CMP10922,2023-05-27,Pass,Pass,Pass,Pass,True,Pass,,49.8,5,0,0,Approved,Conditional,1,29
QA50083,CMP11839,2025-07-20,Pass,Pass,Pass,Pass,True,Pass,,50.0,4,0,0,Approved,Approved,1,29
QA50084,CMP18463,2026-01-12,Pass,Pass,Pass,Pass,True,Pass,,42.0,4,0,0,Approved,Conditional,2,2
QA50085,CMP11774,2024-07-27,Pass,Pass,Pass,Pass,True,Pass,,68.4,4,0,0,Approved,Approved,1,70
QA50086,CMP13517,2024-08-12,Fail,Fail,Warning,Fail,True,Fail,Aggressive wording detected,6.2,2,1,0,Minor fixes required,Conditional,2,33
QA50087,CMP14709,2023-11-03,Pass,Pass,Pass,Pass,True,Pass,,87.3,4,0,0,Approved,Approved,2,8
QA50088,CMP13585,2025-06-27,Pass,Pass,Pass,Pass,True,Pass,,56.0,4,0,0,Approved,Approved,1,6
QA50089,CMP18650,2024-02-25,Pass,Pass,Pass,Pass,True,Pass,,52.8,2,0,0,Approved,Approved,0,39
QA50090,CMP18659,2026-03-10,Pass,Pass,Pass,Pass,True,Pass,,70.5,2,0,0,Approved,Approved,2,46
QA50091,CMP18771,2024-08-21,Pass,Pass,Pass,Pass,True,Pass,,47.5,3,0,0,Approved,Conditional,3,31
QA50092,CMP19999,2024-10-06,Pass,Pass,Pass,Pass,True,Pass,,72.8,4,0,0,Approved,Approved,1,18
QA50093,CMP16266,2023-02-21,Pass,Pass,Fail,Pass,True,Fail,Terms and conditions unclear,34.8,3,3,2,Needs revision,Rejected,0,51
QA50094,CMP17050,2024-09-22,Pass,Pass,Pass,Pass,True,Pass,,89.7,2,0,0,Approved,Approved,3,23
QA50095,CMP17368,2023-09-24,Warning,Fail,Warning,Pass,False,Warning,Font/formatting issues,23.9,3,3,0,Minor fixes required,Conditional,3,13
QA50096,CMP11413,2024-02-15,Pass,Pass,Pass,Pass,True,Pass,,66.1,5,0,0,Approved,Approved,2,64
QA50097,CMP11239,2024-07-27,Warning,Warning,Fail,Warning,True,Warning,Terms and conditions unclear,7.6,4,3,2,Needs revision,Rejected,2,19
QA50098,CMP14769,2024-11-01,Fail,Warning,Warning,Pass,True,Fail,CTA differs across channels,22.9,2,0,0,Minor fixes required,Conditional,1,5
QA50099,CMP12047,2025-06-11,Pass,Pass,Pass,Pass,True,Pass,,40.4,3,0,0,Approved,Conditional,3,12
QA50100,CMP12568,2023-07-16,Warning,Pass,Warning,Pass,False,Fail,Font/formatting issues,29.8,4,5,0,Minor fixes required,Conditional,3,45
QA50101,CMP19366,2025-04-15,Fail,Pass,Fail,Pass,False,Warning,Terms and conditions unclear,29.2,4,5,0,Needs revision,Rejected,2,16
QA50102,CMP11679,2025-08-05,Pass,Pass,Pass,Pass,True,Pass,,90.0,2,0,0,Approved,Approved,2,19
QA50103,CMP11135,2024-02-16,Pass,Pass,Pass,Pass,True,Pass,,61.5,4,0,0,Approved,Approved,1,26
QA50104,CMP10514,2024-03-09,Pass,Pass,Fail,Pass,True,Warning,Disclaimer missing,32.3,5,5,1,Needs revision,Rejected,0,9
QA50105,CMP10020,2023-05-15,Warning,Warning,Warning,Warning,True,Warning,Disclaimer missing,18.5,2,4,0,Minor fixes required,Conditional,1,35
QA50106,CMP17863,2023-04-30,Pass,Pass,Pass,Pass,True,Pass,,80.1,4,0,0,Approved,Approved,3,35
QA50107,CMP14246,2023-01-26,Pass,Pass,Pass,Pass,False,Pass,,43.9,4,0,0,Approved,Conditional,2,33
QA50108,CMP11672,2025-08-06,Pass,Pass,Pass,Pass,True,Pass,,76.8,4,0,0,Approved,Approved,2,36
QA50109,CMP18677,2023-01-30,Pass,Pass,Pass,Pass,True,Pass,,56.2,3,0,0,Approved,Approved,0,40
QA50110,CMP18031,2025-04-28,Pass,Pass,Pass,Pass,True,Warning,,39.8,5,0,0,Approved,Conditional,1,14
QA50111,CMP15563,2023-10-18,Pass,Pass,Pass,Pass,False,Pass,,51.8,5,0,0,Approved,Approved,1,48
QA50112,CMP19297,2023-04-07,Pass,Pass,Pass,Pass,True,Pass,,40.6,5,0,0,Approved,Conditional,0,5
QA50113,CMP10533,2023-05-06,Warning,Pass,Warning,Pass,True,Warning,Aggressive wording detected,28.4,4,3,0,Minor fixes required,Conditional,1,28
QA50114,CMP17631,2025-06-01,Pass,Pass,Pass,Pass,True,Pass,,78.2,4,0,0,Approved,Approved,1,29
QA50115,CMP10779,2023-07-07,Warning,Warning,Warning,Pass,True,Fail,Terms and conditions unclear,21.3,2,1,0,Minor fixes required,Conditional,0,28
QA50116,CMP15837,2024-06-09,Pass,Pass,Pass,Pass,True,Pass,,60.8,4,0,0,Approved,Approved,0,33
QA50117,CMP10300,2025-09-19,Warning,Warning,Warning,Fail,True,Fail,CTA differs across channels,6.5,3,5,0,Minor fixes required,Conditional,2,65
QA50118,CMP15266,2024-10-07,Warning,Fail,Fail,Warning,True,Warning,Regulatory language missing,15.6,4,1,1,Needs revision,Rejected,2,36
QA50119,CMP10199,2023-02-25,Pass,Pass,Pass,Pass,True,Pass,,55.2,5,0,0,Approved,Approved,2,36
QA50120,CMP19171,2024-11-12,Pass,Pass,Pass,Pass,True,Pass,,98.7,5,0,0,Approved,Approved,1,62
QA50121,CMP10260,2025-01-03,Pass,Pass,Pass,Pass,True,Pass,,43.3,4,0,0,Approved,Conditional,0,9
QA50122,CMP10239,2024-10-05,Pass,Pass,Pass,Pass,True,Pass,,84.2,5,0,0,Approved,Approved,0,26
QA50123,CMP11078,2023-04-28,Pass,Pass,Pass,Pass,True,Pass,,70.6,5,0,0,Approved,Approved,3,17
QA50124,CMP10993,2024-10-27,Pass,Pass,Pass,Pass,False,Pass,,70.3,2,0,0,Approved,Approved,1,41
QA50125,CMP13135,2025-02-08,Pass,Pass,Pass,Pass,True,Pass,,65.8,4,0,0,Approved,Approved,1,52
QA50126,CMP18962,2025-04-02,Pass,Pass,Pass,Pass,False,Pass,,48.7,5,0,0,Approved,Conditional,2,12
QA50127,CMP16161,2024-11-28,Fail,Pass,Fail,Pass,True,Fail,Interest rate not compliant,29.2,2,1,1,Needs revision,Rejected,3,31
QA50128,CMP10595,2025-11-26,Fail,Fail,Warning,Warning,True,Warning,Expiry date mismatch,0.5,3,5,0,Minor fixes required,Conditional,3,72
QA50129,CMP12881,2026-04-14,Pass,Pass,Pass,Pass,True,Pass,,88.9,4,0,0,Approved,Approved,2,47
QA50130,CMP13805,2023-03-03,Pass,Pass,Pass,Pass,True,Pass,,53.9,2,0,0,Approved,Approved,2,50
QA50131,CMP13658,2023-05-22,Pass,Pass,Pass,Pass,True,Pass,,41.5,3,0,0,Approved,Conditional,2,44
QA50132,CMP12057,2024-01-02,Warning,Warning,Warning,Fail,True,Warning,Brand guidelines violation,14.3,2,3,0,Minor fixes required,Conditional,1,41
QA50133,CMP13257,2023-07-31,Pass,Pass,Pass,Pass,True,Warning,,38.3,3,0,0,Approved,Conditional,3,28
QA50134,CMP16280,2024-01-21,Pass,Pass,Pass,Pass,True,Pass,,74.4,5,0,0,Approved,Approved,2,41
QA50135,CMP12263,2025-12-24,Pass,Pass,Pass,Pass,True,Pass,,82.7,2,0,0,Approved,Approved,2,59
QA50136,CMP16670,2026-04-16,Pass,Pass,Pass,Pass,True,Warning,,36.2,4,0,0,Approved,Conditional,1,14
QA50137,CMP13515,2024-12-03,Pass,Pass,Pass,Pass,True,Pass,,56.2,4,0,0,Approved,Approved,1,30
QA50138,CMP11695,2025-03-09,Pass,Pass,Pass,Pass,True,Pass,,56.8,4,0,0,Approved,Approved,1,57
QA50139,CMP12097,2024-09-09,Pass,Pass,Pass,Pass,False,Pass,,70.2,4,0,0,Approved,Approved,0,48
QA50140,CMP18127,2026-02-19,Pass,Pass,Pass,Pass,True,Pass,,69.7,3,0,0,Approved,Approved,1,14
QA50141,CMP14952,2023-12-24,Pass,Pass,Pass,Pass,True,Warning,,36.6,2,0,0,Approved,Conditional,0,16
QA50142,CMP18000,2024-09-05,Pass,Pass,Pass,Pass,False,Pass,,83.7,3,0,0,Approved,Approved,2,54
QA50143,CMP13377,2025-08-27,Pass,Pass,Pass,Pass,True,Pass,,95.0,3,0,0,Approved,Approved,1,13
QA50144,CMP14807,2024-06-14,Pass,Pass,Pass,Pass,True,Pass,,65.8,5,0,0,Approved,Approved,1,61
QA50145,CMP14968,2025-09-20,Pass,Pass,Pass,Pass,True,Pass,,67.6,5,0,0,Approved,Approved,3,58
QA50146,CMP13029,2024-06-01,Warning,Warning,Fail,Pass,True,Fail,Disclaimer missing,24.2,2,2,0,Needs revision,Rejected,0,57
QA50147,CMP11295,2025-07-08,Warning,Fail,Fail,Fail,True,Fail,CTA differs across channels,16.8,2,2,2,Needs revision,Rejected,1,56
QA50148,CMP17485,2023-11-09,Fail,Fail,Fail,Warning,True,Fail,Terms and conditions unclear,3.1,5,0,2,Needs revision,Rejected,0,67
QA50149,CMP10225,2026-04-11,Pass,Pass,Pass,Pass,True,Pass,,59.0,4,0,0,Approved,Approved,2,10
QA50150,CMP10969,2024-04-12,Pass,Pass,Pass,Pass,True,Pass,,98.9,4,0,0,Approved,Approved,3,17
QA50151,CMP12678,2026-04-22,Pass,Pass,Pass,Pass,False,Pass,,97.2,5,0,0,Approved,Approved,0,28
QA50152,CMP16669,2023-01-21,Pass,Pass,Pass,Pass,False,Pass,,41.2,5,0,0,Approved,Conditional,1,19
QA50153,CMP13938,2024-03-09,Fail,Fail,Fail,Pass,True,Warning,Brand guidelines violation,23.5,3,1,1,Needs revision,Rejected,3,21
QA50154,CMP10152,2025-06-29,Pass,Pass,Pass,Pass,True,Pass,,57.5,4,0,0,Approved,Approved,0,39
QA50155,CMP13664,2026-04-02,Pass,Pass,Pass,Pass,False,Pass,,59.0,3,0,0,Approved,Approved,0,27
QA50156,CMP10254,2026-03-17,Pass,Pass,Pass,Pass,True,Pass,,59.7,4,0,0,Approved,Approved,2,50
QA50157,CMP18110,2026-03-20,Pass,Pass,Pass,Pass,True,Fail,,37.6,5,0,0,Approved,Conditional,3,55
QA50158,CMP10976,2025-04-15,Warning,Warning,Warning,Fail,True,Fail,Regulatory language missing,11.3,3,5,0,Minor fixes required,Conditional,2,53
QA50159,CMP13318,2025-04-18,Warning,Pass,Warning,Pass,True,Warning,Disclaimer missing,26.6,5,3,0,Minor fixes required,Conditional,3,22
QA50160,CMP12297,2025-02-18,Pass,Pass,Pass,Pass,True,Pass,,54.4,4,0,0,Approved,Approved,0,72
QA50161,CMP14257,2024-10-07,Pass,Pass,Pass,Pass,True,Pass,,85.4,2,0,0,Approved,Approved,2,58
QA50162,CMP18177,2023-07-31,Warning,Warning,Fail,Fail,True,Fail,Disclaimer missing,8.7,2,1,0,Needs revision,Rejected,1,6
QA50163,CMP11107,2024-05-02,Pass,Pass,Pass,Pass,True,Pass,,79.1,2,0,0,Approved,Approved,1,28
QA50164,CMP12125,2024-09-29,Fail,Fail,Fail,Warning,True,Warning,Aggressive wording detected,12.4,2,0,2,Needs revision,Rejected,2,10
QA50165,CMP14241,2026-01-11,Pass,Pass,Pass,Pass,False,Pass,,93.3,5,0,0,Approved,Approved,3,31
QA50166,CMP17153,2024-12-07,Pass,Pass,Pass,Pass,True,Fail,,38.8,5,0,0,Approved,Conditional,1,21
QA50167,CMP11382,2023-06-03,Pass,Pass,Pass,Pass,False,Pass,,85.8,5,0,0,Approved,Approved,2,56
QA50168,CMP12769,2023-06-06,Warning,Fail,Fail,Warning,True,Fail,Interest rate not compliant,11.7,5,3,2,Needs revision,Rejected,1,23
QA50169,CMP10749,2024-10-23,Pass,Pass,Fail,Pass,True,Fail,Expiry date mismatch,34.1,2,0,2,Needs revision,Rejected,3,5
QA50170,CMP14752,2025-01-21,Pass,Pass,Pass,Pass,True,Pass,,95.1,2,0,0,Approved,Approved,0,2
QA50171,CMP10097,2025-11-20,Warning,Pass,Fail,Pass,True,Warning,Brand guidelines violation,27.2,4,1,0,Needs revision,Rejected,0,3
QA50172,CMP15722,2023-02-14,Fail,Warning,Fail,Fail,False,Warning,Terms and conditions unclear,2.1,4,2,2,Needs revision,Rejected,2,64
QA50173,CMP13917,2023-09-26,Pass,Pass,Pass,Pass,True,Pass,,78.7,5,0,0,Approved,Approved,2,17
QA50174,CMP10433,2024-09-17,Warning,Fail,Warning,Warning,True,Fail,Aggressive wording detected,6.1,4,5,0,Minor fixes required,Conditional,3,43
QA50175,CMP12450,2025-02-21,Pass,Pass,Pass,Pass,True,Pass,,92.9,3,0,0,Approved,Approved,3,14
QA50176,CMP19763,2024-10-10,Pass,Pass,Pass,Pass,False,Pass,,95.1,4,0,0,Approved,Approved,2,71
QA50177,CMP12770,2024-12-24,Fail,Fail,Fail,Fail,True,Warning,CTA differs across channels,2.1,2,4,0,Needs revision,Rejected,1,46
QA50178,CMP12751,2023-06-27,Warning,Fail,Fail,Fail,False,Fail,Offer amount inconsistent,11.3,4,5,2,Needs revision,Rejected,3,65
QA50179,CMP16500,2024-04-05,Fail,Warning,Fail,Fail,True,Fail,Aggressive wording detected,9.2,2,4,2,Needs revision,Rejected,1,38
QA50180,CMP15450,2024-05-25,Fail,Fail,Warning,Fail,False,Warning,Contact information different,0.1,2,2,0,Minor fixes required,Conditional,2,55
QA50181,CMP11228,2023-05-06,Pass,Pass,Pass,Pass,True,Pass,,60.2,5,0,0,Approved,Approved,2,39
QA50182,CMP15814,2024-04-29,Pass,Pass,Pass,Pass,True,Pass,,59.3,5,0,0,Approved,Approved,2,54
QA50183,CMP19435,2024-11-28,Pass,Pass,Pass,Pass,True,Pass,,85.4,4,0,0,Approved,Approved,3,71
QA50184,CMP14234,2024-01-06,Pass,Pass,Warning,Pass,True,Warning,Regulatory language missing,30.3,4,4,0,Minor fixes required,Conditional,1,22
QA50185,CMP11086,2023-07-11,Pass,Pass,Pass,Pass,True,Pass,,56.0,2,0,0,Approved,Approved,1,2
QA50186,CMP16056,2026-01-22,Pass,Pass,Pass,Pass,True,Pass,,55.3,4,0,0,Approved,Approved,2,10
QA50187,CMP13821,2025-11-07,Pass,Pass,Pass,Pass,False,Pass,,57.9,2,0,0,Approved,Approved,2,32
QA50188,CMP10010,2025-12-16,Pass,Pass,Pass,Pass,True,Pass,,86.4,2,0,0,Approved,Approved,0,46
QA50189,CMP17908,2023-03-29,Pass,Pass,Pass,Pass,False,Pass,,45.4,5,0,0,Approved,Conditional,3,32
QA50190,CMP19120,2023-12-30,Fail,Warning,Warning,Fail,True,Fail,Brand guidelines violation,18.6,5,1,0,Minor fixes required,Conditional,1,57
QA50191,CMP16979,2025-09-08,Pass,Pass,Pass,Pass,True,Pass,,97.6,4,0,0,Approved,Approved,0,55
QA50192,CMP15950,2026-02-27,Pass,Pass,Pass,Pass,False,Pass,,86.0,3,0,0,Approved,Approved,1,30
QA50193,CMP16912,2023-07-07,Pass,Pass,Pass,Pass,True,Pass,,81.9,3,0,0,Approved,Approved,1,12
QA50194,CMP13080,2024-05-30,Pass,Pass,Pass,Pass,True,Pass,,72.0,3,0,0,Approved,Approved,2,29
QA50195,CMP19206,2023-10-09,Pass,Pass,Pass,Pass,True,Pass,,42.8,2,0,0,Approved,Conditional,0,64
QA50196,CMP12280,2025-08-09,Pass,Pass,Pass,Pass,True,Pass,,55.5,4,0,0,Approved,Approved,2,38
QA50197,CMP11542,2025-08-21,Pass,Pass,Pass,Pass,True,Pass,,63.5,4,0,0,Approved,Approved,3,47
QA50198,CMP12284,2026-04-19,Pass,Pass,Pass,Pass,True,Pass,,79.5,5,0,0,Approved,Approved,0,72
QA50199,CMP16884,2025-09-01,Warning,Warning,Fail,Fail,True,Warning,Terms and conditions unclear,6.9,4,5,0,Needs revision,Rejected,3,33
QA50200,CMP18102,2025-09-04,Pass,Pass,Warning,Pass,True,Warning,Offer amount inconsistent,33.5,2,5,0,Minor fixes required,Conditional,2,34
QA50201,CMP12895,2024-02-09,Warning,Warning,Fail,Fail,True,Warning,Disclaimer missing,3.7,4,4,1,Needs revision,Rejected,0,24
QA50202,CMP17698,2024-10-30,Pass,Pass,Pass,Pass,True,Pass,,92.0,5,0,0,Approved,Approved,1,31
QA50203,CMP10811,2025-11-26,Pass,Pass,Pass,Pass,False,Pass,,51.9,4,0,0,Approved,Approved,1,54
QA50204,CMP16836,2024-03-30,Pass,Pass,Pass,Pass,True,Pass,,83.7,3,0,0,Approved,Approved,2,17
QA50205,CMP15753,2024-07-24,Pass,Pass,Pass,Pass,True,Pass,,56.0,4,0,0,Approved,Approved,1,47
